100 36   2
   0.0000000e+00   7.2342060e-02   0.0000000e+00
   5.5555560e-03   7.2342060e-02   0.0000000e+00
   1.1111110e-02   7.2342060e-02   0.0000000e+00
   1.6666670e-02   7.2342060e-02   0.0000000e+00
   2.2222220e-02   7.2342060e-02   0.0000000e+00
   2.7777780e-02   7.2342060e-02   0.0000000e+00
   3.3333330e-02   7.2342060e-02   0.0000000e+00
   3.8888890e-02   7.2342060e-02   0.0000000e+00
   4.4444440e-02   7.2342060e-02   0.0000000e+00
   5.0000000e-02   7.2342060e-02   0.0000000e+00
   5.5555560e-02   7.2342060e-02   0.0000000e+00
   6.1111110e-02   7.2342060e-02   0.0000000e+00
   6.6666670e-02   7.2342060e-02   0.0000000e+00
   7.2222220e-02   7.2342060e-02   0.0000000e+00
   7.7777780e-02   7.2342060e-02   0.0000000e+00
   8.3333330e-02   7.2342060e-02   0.0000000e+00
   8.8888890e-02   7.2342060e-02   0.0000000e+00
   9.4444440e-02   7.2342060e-02   0.0000000e+00
   1.0000000e-01   7.2342060e-02   0.0000000e+00
   1.0555560e-01   7.2342060e-02   0.0000000e+00
   1.1111110e-01   7.2342060e-02   0.0000000e+00
   1.1666670e-01   7.2342060e-02   0.0000000e+00
   1.2222220e-01   7.2342060e-02   0.0000000e+00
   1.2777780e-01   7.2342060e-02   0.0000000e+00
   1.3333330e-01   7.2342060e-02   0.0000000e+00
   1.3888890e-01   7.2342060e-02   0.0000000e+00
   1.4444440e-01   7.2342060e-02   0.0000000e+00
   1.5000000e-01   7.2342060e-02   0.0000000e+00
   1.5555560e-01   7.2342060e-02   0.0000000e+00
   1.6111110e-01   7.2342060e-02   0.0000000e+00
   1.6666670e-01   7.2342060e-02   0.0000000e+00
   1.7222220e-01   7.2342060e-02   0.0000000e+00
   1.7777780e-01   7.2342060e-02   0.0000000e+00
   1.8333330e-01   7.2342060e-02   0.0000000e+00
   1.8888890e-01   7.2342060e-02   0.0000000e+00
   1.9444440e-01   7.2342060e-02   0.0000000e+00
   2.0000000e-01   7.2342060e-02   0.0000000e+00
   2.0555560e-01   7.2342060e-02   0.0000000e+00
   2.1111110e-01   7.2342060e-02   0.0000000e+00
   2.1666670e-01   7.2342060e-02   0.0000000e+00
   2.2222220e-01   7.2342060e-02   0.0000000e+00
   2.2777780e-01   7.2342060e-02   0.0000000e+00
   2.3333330e-01   7.2342060e-02   0.0000000e+00
   2.3888890e-01   7.2342060e-02   0.0000000e+00
   2.4444440e-01   7.2342060e-02   0.0000000e+00
   2.5000000e-01   7.2342060e-02   0.0000000e+00
   2.5555560e-01   7.3330440e-02   0.0000000e+00
   2.6111110e-01   7.4318550e-02   0.0000000e+00
   2.6666670e-01   7.5306370e-02   0.0000000e+00
   2.7222220e-01   7.6293920e-02   0.0000000e+00
   2.7777780e-01   7.7281190e-02   0.0000000e+00
   2.8333330e-01   7.8268170e-02   0.0000000e+00
   2.8888890e-01   7.9254870e-02   0.0000000e+00
   2.9444440e-01   8.0241270e-02   0.0000000e+00
   3.0000000e-01   8.1227390e-02   0.0000000e+00
   3.0555560e-01   8.2213210e-02   0.0000000e+00
   3.1111110e-01   8.3198740e-02   0.0000000e+00
   3.1666670e-01   8.4183970e-02   0.0000000e+00
   3.2222220e-01   8.5168890e-02   0.0000000e+00
   3.2777780e-01   8.6153520e-02   0.0000000e+00
   3.3333330e-01   8.7137830e-02   0.0000000e+00
   3.3888890e-01   8.8121840e-02   0.0000000e+00
   3.4444440e-01   8.9105530e-02   0.0000000e+00
   3.5000000e-01   9.0093440e-02   0.0000000e+00
   3.5555560e-01   9.1076550e-02   0.0000000e+00
   3.6111110e-01   9.2059330e-02   0.0000000e+00
   3.6666670e-01   9.3041800e-02   0.0000000e+00
   3.7222220e-01   9.4023930e-02   0.0000000e+00
   3.7777780e-01   9.5005740e-02   0.0000000e+00
   3.8333330e-01   9.5987220e-02   0.0000000e+00
   3.8888890e-01   9.6968360e-02   0.0000000e+00
   3.9444440e-01   9.7949160e-02   0.0000000e+00
   4.0000000e-01   9.8929620e-02   0.0000000e+00
   4.0555560e-01   9.9909730e-02   0.0000000e+00
   4.1111110e-01   1.0088950e-01   0.0000000e+00
   4.1666670e-01   1.0186890e-01   0.0000000e+00
   4.2222220e-01   1.0284800e-01   0.0000000e+00
   4.2777780e-01   1.0382670e-01   0.0000000e+00
   4.3333330e-01   1.0480500e-01   0.0000000e+00
   4.3888890e-01   1.0578300e-01   0.0000000e+00
   4.4444440e-01   1.0676060e-01   0.0000000e+00
   4.5000000e-01   1.0773780e-01   0.0000000e+00
   4.5555560e-01   1.0871460e-01   0.0000000e+00
   4.6111110e-01   1.0969110e-01   0.0000000e+00
   4.6666670e-01   1.1066720e-01   0.0000000e+00
   4.7222220e-01   1.1164280e-01   0.0000000e+00
   4.7777780e-01   1.1261810e-01   0.0000000e+00
   4.8333330e-01   1.1359300e-01   0.0000000e+00
   4.8888890e-01   1.1456750e-01   0.0000000e+00
   4.9444440e-01   1.1554160e-01   0.0000000e+00
   5.0000000e-01   1.1651520e-01   0.0000000e+00
   5.0555560e-01   1.1651520e-01   0.0000000e+00
   5.1111110e-01   1.1651520e-01   0.0000000e+00
   5.1666670e-01   1.1651520e-01   0.0000000e+00
   5.2222220e-01   1.1651520e-01   0.0000000e+00
   5.2777780e-01   1.1651520e-01   0.0000000e+00
   5.3333330e-01   1.1651520e-01   0.0000000e+00
   5.3888890e-01   1.1651520e-01   0.0000000e+00
   5.4444440e-01   1.1651520e-01   0.0000000e+00
   5.5000000e-01   1.1651520e-01   0.0000000e+00
   0.0000000e+00   8.1294040e-02   0.0000000e+00
   5.5555560e-03   8.1294040e-02   0.0000000e+00
   1.1111110e-02   8.1294040e-02   0.0000000e+00
   1.6666670e-02   8.1294040e-02   0.0000000e+00
   2.2222220e-02   8.1294040e-02   0.0000000e+00
   2.7777780e-02   8.1294040e-02   0.0000000e+00
   3.3333330e-02   8.1294040e-02   0.0000000e+00
   3.8888890e-02   8.1294040e-02   0.0000000e+00
   4.4444440e-02   8.1294040e-02   0.0000000e+00
   5.0000000e-02   8.1294040e-02   0.0000000e+00
   5.5555560e-02   8.1294040e-02   0.0000000e+00
   6.1111110e-02   8.1294040e-02   0.0000000e+00
   6.6666670e-02   8.1294040e-02   0.0000000e+00
   7.2222220e-02   8.1294040e-02   0.0000000e+00
   7.7777780e-02   8.1294040e-02   0.0000000e+00
   8.3333330e-02   8.1294040e-02   0.0000000e+00
   8.8888890e-02   8.1294040e-02   0.0000000e+00
   9.4444440e-02   8.1294040e-02   0.0000000e+00
   1.0000000e-01   8.1294040e-02   0.0000000e+00
   1.0555560e-01   8.1294040e-02   0.0000000e+00
   1.1111110e-01   8.1294040e-02   0.0000000e+00
   1.1666670e-01   8.1294040e-02   0.0000000e+00
   1.2222220e-01   8.1294040e-02   0.0000000e+00
   1.2777780e-01   8.1294040e-02   0.0000000e+00
   1.3333330e-01   8.1294040e-02   0.0000000e+00
   1.3888890e-01   8.1294040e-02   0.0000000e+00
   1.4444440e-01   8.1294040e-02   0.0000000e+00
   1.5000000e-01   8.1294040e-02   0.0000000e+00
   1.5555560e-01   8.1294040e-02   0.0000000e+00
   1.6111110e-01   8.1294040e-02   0.0000000e+00
   1.6666670e-01   8.1294040e-02   0.0000000e+00
   1.7222220e-01   8.1294040e-02   0.0000000e+00
   1.7777780e-01   8.1294040e-02   0.0000000e+00
   1.8333330e-01   8.1294040e-02   0.0000000e+00
   1.8888890e-01   8.1294040e-02   0.0000000e+00
   1.9444440e-01   8.1294040e-02   0.0000000e+00
   2.0000000e-01   8.1294040e-02   0.0000000e+00
   2.0555560e-01   8.1294040e-02   0.0000000e+00
   2.1111110e-01   8.1294040e-02   0.0000000e+00
   2.1666670e-01   8.1294040e-02   0.0000000e+00
   2.2222220e-01   8.1294040e-02   0.0000000e+00
   2.2777780e-01   8.1294040e-02   0.0000000e+00
   2.3333330e-01   8.1294040e-02   0.0000000e+00
   2.3888890e-01   8.1294040e-02   0.0000000e+00
   2.4444440e-01   8.1294040e-02   0.0000000e+00
   2.5000000e-01   8.1294040e-02   0.0000000e+00
   2.5555560e-01   8.2204200e-02   0.0000000e+00
   2.6111110e-01   8.3114180e-02   0.0000000e+00
   2.6666670e-01   8.4023950e-02   0.0000000e+00
   2.7222220e-01   8.4933530e-02   0.0000000e+00
   2.7777780e-01   8.5842900e-02   0.0000000e+00
   2.8333330e-01   8.6752080e-02   0.0000000e+00
   2.8888890e-01   8.7661050e-02   0.0000000e+00
   2.9444440e-01   8.8569820e-02   0.0000000e+00
   3.0000000e-01   8.9478380e-02   0.0000000e+00
   3.0555560e-01   9.0386740e-02   0.0000000e+00
   3.1111110e-01   9.1294880e-02   0.0000000e+00
   3.1666670e-01   9.2202820e-02   0.0000000e+00
   3.2222220e-01   9.3110540e-02   0.0000000e+00
   3.2777780e-01   9.4018040e-02   0.0000000e+00
   3.3333330e-01   9.4925330e-02   0.0000000e+00
   3.3888890e-01   9.5832400e-02   0.0000000e+00
   3.4444440e-01   9.6739250e-02   0.0000000e+00
   3.5000000e-01   9.7649020e-02   0.0000000e+00
   3.5555560e-01   9.8555450e-02   0.0000000e+00
   3.6111110e-01   9.9461660e-02   0.0000000e+00
   3.6666670e-01   1.0036760e-01   0.0000000e+00
   3.7222220e-01   1.0127340e-01   0.0000000e+00
   3.7777780e-01   1.0217890e-01   0.0000000e+00
   3.8333330e-01   1.0308420e-01   0.0000000e+00
   3.8888890e-01   1.0398920e-01   0.0000000e+00
   3.9444440e-01   1.0489400e-01   0.0000000e+00
   4.0000000e-01   1.0579860e-01   0.0000000e+00
   4.0555560e-01   1.0670290e-01   0.0000000e+00
   4.1111110e-01   1.0760700e-01   0.0000000e+00
   4.1666670e-01   1.0851080e-01   0.0000000e+00
   4.2222220e-01   1.0941440e-01   0.0000000e+00
   4.2777780e-01   1.1031770e-01   0.0000000e+00
   4.3333330e-01   1.1122070e-01   0.0000000e+00
   4.3888890e-01   1.1212350e-01   0.0000000e+00
   4.4444440e-01   1.1302610e-01   0.0000000e+00
   4.5000000e-01   1.1392840e-01   0.0000000e+00
   4.5555560e-01   1.1483040e-01   0.0000000e+00
   4.6111110e-01   1.1573210e-01   0.0000000e+00
   4.6666670e-01   1.1663360e-01   0.0000000e+00
   4.7222220e-01   1.1753480e-01   0.0000000e+00
   4.7777780e-01   1.1843570e-01   0.0000000e+00
   4.8333330e-01   1.1933630e-01   0.0000000e+00
   4.8888890e-01   1.2023670e-01   0.0000000e+00
   4.9444440e-01   1.2113670e-01   0.0000000e+00
   5.0000000e-01   1.2203650e-01   0.0000000e+00
   5.0555560e-01   1.2203650e-01   0.0000000e+00
   5.1111110e-01   1.2203650e-01   0.0000000e+00
   5.1666670e-01   1.2203650e-01   0.0000000e+00
   5.2222220e-01   1.2203650e-01   0.0000000e+00
   5.2777780e-01   1.2203650e-01   0.0000000e+00
   5.3333330e-01   1.2203650e-01   0.0000000e+00
   5.3888890e-01   1.2203650e-01   0.0000000e+00
   5.4444440e-01   1.2203650e-01   0.0000000e+00
   5.5000000e-01   1.2203650e-01   0.0000000e+00
   0.0000000e+00   9.0564550e-02   0.0000000e+00
   5.5555560e-03   9.0564550e-02   0.0000000e+00
   1.1111110e-02   9.0564550e-02   0.0000000e+00
   1.6666670e-02   9.0564550e-02   0.0000000e+00
   2.2222220e-02   9.0564550e-02   0.0000000e+00
   2.7777780e-02   9.0564550e-02   0.0000000e+00
   3.3333330e-02   9.0564550e-02   0.0000000e+00
   3.8888890e-02   9.0564550e-02   0.0000000e+00
   4.4444440e-02   9.0564550e-02   0.0000000e+00
   5.0000000e-02   9.0564550e-02   0.0000000e+00
   5.5555560e-02   9.0564550e-02   0.0000000e+00
   6.1111110e-02   9.0564550e-02   0.0000000e+00
   6.6666670e-02   9.0564550e-02   0.0000000e+00
   7.2222220e-02   9.0564550e-02   0.0000000e+00
   7.7777780e-02   9.0564550e-02   0.0000000e+00
   8.3333330e-02   9.0564550e-02   0.0000000e+00
   8.8888890e-02   9.0564550e-02   0.0000000e+00
   9.4444440e-02   9.0564550e-02   0.0000000e+00
   1.0000000e-01   9.0564550e-02   0.0000000e+00
   1.0555560e-01   9.0564550e-02   0.0000000e+00
   1.1111110e-01   9.0564550e-02   0.0000000e+00
   1.1666670e-01   9.0564550e-02   0.0000000e+00
   1.2222220e-01   9.0564550e-02   0.0000000e+00
   1.2777780e-01   9.0564550e-02   0.0000000e+00
   1.3333330e-01   9.0564550e-02   0.0000000e+00
   1.3888890e-01   9.0564550e-02   0.0000000e+00
   1.4444440e-01   9.0564550e-02   0.0000000e+00
   1.5000000e-01   9.0564550e-02   0.0000000e+00
   1.5555560e-01   9.0564550e-02   0.0000000e+00
   1.6111110e-01   9.0564550e-02   0.0000000e+00
   1.6666670e-01   9.0564550e-02   0.0000000e+00
